User ID,User ID,Communication Frequency
19514469,252750047,4
148620663,168365470,4
114271720,304760059,4
28812726,28844809,4
17368581,307662290,4
15130183,32745218,4
27784462,33549238,4
207700434,475281595,4
213024350,421541220,4
179096132,229145037,4
17857933,19945740,4
425025852,425160848,4
26751258,798665612,4
163212698,325364129,4
207695509,574103578,4
188885284,361354878,4
315106248,58196872,4
241177889,7613822,4
320936973,53680291,3
280695663,406713975,3
115538099,309477109,3
248776911,260983773,3
305765428,305859188,3
43468317,95899890,3
115959970,43898976,3
110508334,197215449,3
389736255,426363255,3
103019774,256079706,3
29351600,627554132,3
117643419,310952601,3
14204194,2852911,3
102266308,555256434,3
31586459,79367048,3
282855026,335408854,3
208215559,31140229,3
305765428,305797921,3
137151124,53188062,3
305765428,305984191,3
31208128,71101575,3
12793062,3686561,3
19404295,23384204,3
204942252,47332084,3
195592938,329787723,3
16672818,69682524,3
15111002,434237383,3
15061970,21516685,3
37463388,46173183,3
223242974,283146329,3
516770112,523156158,3
25964678,30195961,3
210466578,218973022,3
416029090,67160287,3
18164038,19057138,3
327764334,376415003,3
10454572,25016879,3
114929518,318130162,3
14560657,80333792,3
21095237,40401469,3
174349374,380772740,3
502052477,631904976,3
114229065,50213622,3
224790425,236556054,3
132274053,135215337,3
28610322,95853861,3
15705567,46715133,3
7997312,843754164,3
15891430,266182332,3
301213830,459810369,3
69174548,75177592,3
472661855,73512767,3
3954581,63234140,3
473216476,527095569,3
305765428,305865832,3
114288168,118491811,3
346346134,574103578,3
37342374,82124534,3
418,922,3
218488963,409424556,3
21657046,86359331,3
60212234,6392972,3
593129194,77943076,3
328022961,413420517,3
69352359,84470157,3
15755360,2852911,3
34155450,48388966,3
26002706,2852911,3
19057138,28270653,3
26002706,27199091,3
21630146,555740499,3
22884099,243877030,3
165486875,22933876,3
239237448,422208061,3
250418819,6392972,3
18344263,23449914,3
164222964,38494061,3
164774417,396728530,3
15832727,320338231,3
295968813,621509729,3
305765428,306011254,3
212426463,228438615,3
23815843,24306591,3
20014499,20527694,3
453064392,557058219,3
315106248,407258368,3
14129766,77549053,3
30961756,402171019,3
12078212,16661147,3
15207956,22449932,3
109069065,11101232,3
14731275,2852911,3
448271462,544638653,3
548230140,66043298,3
364490633,77881112,3
144663725,589279610,3
104539221,285992007,3
207695509,519201902,3
191427865,231164887,3
10950722,22449932,3
192097952,286519654,3
309628129,401667724,3
305765428,305832279,3
117987103,549813599,3
30916406,807867222,3
14938837,14948227,3
402343708,67378947,3
21933334,43740793,3
15805390,17341309,3
289182741,32329306,3
273631097,275167949,3
14329764,374282022,3
273631097,320269742,3
30997783,68094636,3
419933183,613513638,3
366149800,388556667,3
394337093,500930492,3
328227744,832246478,3
49657144,7767602,3
103961572,18137636,3
555740499,80619457,3
393141916,55358339,3
16869331,19730294,3
146977393,31498496,2
506919801,67053941,2
18547908,58913244,2
362654038,467972218,2
4558,7482,2
305765428,305852673,2
178895046,63736513,2
2852911,5658512,2
137835931,139850377,2
191505234,32301827,2
249371538,96573557,2
16998900,51549899,2
15445595,4215671,2
213327869,86406437,2
132573703,180250716,2
25661346,32351196,2
14308508,15391930,2
25661346,8907552,2
15692778,38802713,2
369873370,41053367,2
305765428,305886825,2
243877030,44017584,2
305765428,305970407,2
16439204,422265930,2
305765428,305928185,2
229145037,6446772,2
19932585,243545362,2
12078212,317987681,2
305303122,738363890,2
345139032,471157677,2
297676981,432051165,2
15751437,320936973,2
171558331,60469411,2
266702463,47641178,2
15431478,21618620,2
37487814,426284294,2
263814304,745857422,2
22200455,24384494,2
305765428,305797927,2
17820399,5603482,2
305765428,636270916,2
330537558,356225544,2
154864739,20541500,2
19546942,261824439,2
18107739,48436437,2
115754015,20967178,2
15200370,18071087,2
335066737,399863474,2
305765428,305886769,2
12705482,5430872,2
257663121,346140296,2
12647802,8002022,2
305765428,305914214,2
657103,727433,2
126367986,23393262,2
32152178,6314312,2
153466196,30794679,2
34073744,541010129,2
168045557,71317498,2
15642618,2062811,2
366753614,48132834,2
14308508,54177409,2
205545489,24236621,2
276535182,416005280,2
17211117,17610818,2
305765428,305825421,2
389711843,540119481,2
305765428,636768577,2
14270329,7172432,2
33896179,347597060,2
153504477,506588061,2
382289718,743891251,2
67346705,77347886,2
19103074,404636960,2
15085830,25007795,2
2148741,3686561,2
292065998,81734687,2
20688403,378028105,2
42662771,70885765,2
305765428,305900349,2
28569010,66366331,2
15606271,91449842,2
20751811,26552810,2
33070725,70839077,2
147797783,400477494,2
79574768,8266412,2
18017287,192097952,2
17809727,17890513,2
12364322,20619143,2
264471746,28589721,2
222615725,54704399,2
168502337,40789963,2
114271720,297678450,2
14710950,3032241,2
218488963,488298010,2
36823,874481815,2
115538099,459815632,2
174425464,24283246,2
14090238,15158420,2
134157064,72330116,2
18702712,22883726,2
14159567,18199919,2
15391930,34163123,2
112609671,93927946,2
253256176,91225015,2
346632163,386301220,2
6267452,88581115,2
15324314,17174309,2
305765428,306023059,2
1775991,22795060,2
147758495,38187360,2
2579761,5638172,2
18573206,38514190,2
17368581,17890513,2
7482,8266412,2
428033712,431092315,2
50297021,9743782,2
305765428,305825412,2
16198119,343487067,2
620595973,95026186,2
102531923,20171016,2
161746034,22883726,2
23314335,241130516,2
104993486,127951326,2
597855964,738363890,2
135690877,46008928,2
16109631,23393262,2
270175572,56510266,2
182250423,421990736,2
305765428,305778246,2
10862672,15486687,2
19755826,55145066,2
47265449,82709876,2
41054121,69607151,2
117625872,801849283,2
185030243,909005772,2
141803284,86372688,2
14308508,22883726,2
248119050,313649786,2
20861030,48569578,2
14721665,2852911,2
305765428,305804739,2
362251137,43386039,2
124363784,14270329,2
16689279,577202920,2
195072910,22045321,2
305765428,305825399,2
372501319,60752471,2
35685493,358601814,2
126367986,12967532,2
110445641,346600282,2
26001866,29276547,2
25584174,402362376,2
17025580,19608953,2
15126100,950531,2
22915229,33021816,2
430729982,98719222,2
259143700,401174520,2
16877485,19219300,2
17904400,418,2
21825776,7172432,2
385766613,739585255,2
305765428,305935108,2
180887006,269472801,2
110245919,289057526,2
18297890,92201391,2
147729428,555527780,2
18641027,37966033,2
119743037,9743782,2
135371003,249457275,2
296561157,41980164,2
305765428,305984130,2
286644180,63234140,2
21931745,431758471,2
29294520,44051502,2
39388406,99757777,2
264458276,403833064,2
17728497,425408083,2
299426038,36823,2
22138357,867368696,2
15941343,39267537,2
16434156,288579980,2
16328771,21598565,2
3686561,38187360,2
10389362,6786622,2
17766356,505224882,2
305753349,305765428,2
418,7482,2
14929640,814455,2
318932007,86989278,2
20341709,25723913,2
532615157,618317065,2
17174309,21811876,2
345500230,348796892,2
72911412,789088524,2
21016402,29332318,2
61099184,65781717,2
220771756,464030182,2
106213245,173390083,2
19730154,330596503,2
186115340,21761673,2
363680816,92487433,2
136783408,224728618,2
305765428,305865789,2
21825776,23377856,2
305765428,305797877,2
13404862,24290627,2
305765428,305804691,2
220473368,287422494,2
14275761,16517774,2
242163534,64295033,2
350371571,458251885,2
228017174,52504705,2
141720565,293335942,2
305765428,306017304,2
27559631,624024472,2
36119928,714309702,2
188463694,41691836,2
17249839,18960084,2
199551185,845967697,2
305765428,305784453,2
32745682,343851471,2
305765428,306017239,2
35892415,613382810,2
109318056,6834002,2
274780116,59648567,2
292613784,64413160,2
30744121,541223426,2
305765428,305778203,2
243923207,263270869,2
256534627,788207624,2
301752729,433512408,2
17999459,21418081,2
305765428,305839099,2
2062811,215034746,2
13404862,14397792,2
16863888,7695482,2
14678993,435983610,2
15391930,260021840,2
329270317,539853639,2
2852911,84191380,2
143626596,61588686,2
48785202,73254800,2
157773975,29819830,2
154974289,21210666,2
121422534,66456468,2
15391930,483225913,2
305765428,305845925,2
425207597,6018562,2
305765428,305839086,2
16478144,6368102,2
295464111,39607985,2
17503410,22883726,2
364051367,547277380,2
264656718,727690950,2
26538952,7172432,2
404280922,420076021,2
379498625,554152494,2
21207086,45144995,2
11488522,24938360,2
305765428,305865854,2
374263889,425513164,2
33259303,33502574,2
305765428,305859436,2
305765428,305852617,2
305765428,305859386,2
755241,812868,2
10334352,330101332,2
270050957,96855952,2
154100245,21159536,2
428397527,431092315,2
237687883,52974108,2
26650168,874806566,2
288946682,306713278,2
7036002,74211907,2
120505638,367436123,2
12193402,6323442,2
101577348,147070682,2
22883726,83942527,2
20171016,21563182,2
305765428,701920416,2
379248303,57449936,2
114929518,412078634,2
28461776,73987740,2
234909538,94736025,2
207779623,254572332,2
15701130,18706257,2
15039787,209660718,2
377479987,713214054,2
115754015,25824109,2
17912168,19637735,2
309276185,86376182,2
202486772,69040139,2
2595941,31779095,2
39267537,48785202,2
220585335,57207476,2
301484259,70705262,2
321322611,72330116,2
